dept,tenure,total,question,answer,value
Public Service Total,Total,166161.5712,Staffing activities are carried out in a transparent way,shr_To_a_great_extent,10.72141356
Public Service Total,Indeterminate,75830.6355,Staffing activities are carried out in a transparent way,shr_To_a_great_extent,11.02599179
Public Service Total,Term,90330.9357,Staffing activities are carried out in a transparent way,shr_To_a_great_extent,10.48434801
Employment and Social Development Canada,Total,16151.1907,Staffing activities are carried out in a transparent way,shr_To_a_great_extent,12.42982259
Employment and Social Development Canada,Indeterminate,4946.1142,Staffing activities are carried out in a transparent way,shr_To_a_great_extent,12.42213265
Employment and Social Development Canada,Term,11205.0765,Staffing activities are carried out in a transparent way,shr_To_a_great_extent,12.43322001
National Defence,Total,19903.2698,Staffing activities are carried out in a transparent way,shr_To_a_great_extent,11.65464382
National Defence,Indeterminate,12295.7717,Staffing activities are carried out in a transparent way,shr_To_a_great_extent,11.51679938
National Defence,Term,7607.4981,Staffing activities are carried out in a transparent way,shr_To_a_great_extent,11.84528606
Public Service Total,Total,176741.0842,I Believe that we hire people who can do the job,shr_To_a_great_extent,5.49640072
Public Service Total,Indeterminate,80328.3862,I Believe that we hire people who can do the job,shr_To_a_great_extent,6.150713999
Public Service Total,Term,96412.698,I Believe that we hire people who can do the job,shr_To_a_great_extent,4.990917549
Employment and Social Development Canada,Total,17354.8264,I Believe that we hire people who can do the job,shr_To_a_great_extent,6.66109835
Employment and Social Development Canada,Indeterminate,5266.1459,I Believe that we hire people who can do the job,shr_To_a_great_extent,6.975945017
Employment and Social Development Canada,Term,12088.6805,I Believe that we hire people who can do the job,shr_To_a_great_extent,6.523695261
National Defence,Total,21562.7816,I Believe that we hire people who can do the job,shr_To_a_great_extent,5.703896104
National Defence,Indeterminate,13246.1509,I Believe that we hire people who can do the job,shr_To_a_great_extent,5.865419216
National Defence,Term,8316.6307,I Believe that we hire people who can do the job,shr_To_a_great_extent,5.483157118
Public Service Total,Total,167782.8753,The process of selecting a person for a position is done fairly,shr_To_a_great_extent,10.2682811
Public Service Total,Indeterminate,76826.1106,The process of selecting a person for a position is done fairly,shr_To_a_great_extent,11.13481357
Public Service Total,Term,90956.7647,The process of selecting a person for a position is done fairly,shr_To_a_great_extent,9.59020055
Employment and Social Development Canada,Total,16252.6958,The process of selecting a person for a position is done fairly,shr_To_a_great_extent,11.75814369
Employment and Social Development Canada,Indeterminate,4958.6702,The process of selecting a person for a position is done fairly,shr_To_a_great_extent,12.78772379
Employment and Social Development Canada,Term,11294.0256,The process of selecting a person for a position is done fairly,shr_To_a_great_extent,11.30560463
National Defence,Total,20463.5252,The process of selecting a person for a position is done fairly,shr_To_a_great_extent,10.77041433
National Defence,Indeterminate,12699.5465,The process of selecting a person for a position is done fairly,shr_To_a_great_extent,10.87038433
National Defence,Term,7763.9787,The process of selecting a person for a position is done fairly,shr_To_a_great_extent,10.63044052
Public Service Total,Total,166161.5712,Staffing activities are carried out in a transparent way,shr_To_a_minimal_extent,19.36320818
Public Service Total,Indeterminate,75830.6355,Staffing activities are carried out in a transparent way,shr_To_a_minimal_extent,19.0880073
Public Service Total,Term,90330.9357,Staffing activities are carried out in a transparent way,shr_To_a_minimal_extent,19.57740814
Employment and Social Development Canada,Total,16151.1907,Staffing activities are carried out in a transparent way,shr_To_a_minimal_extent,22.07500561
Employment and Social Development Canada,Indeterminate,4946.1142,Staffing activities are carried out in a transparent way,shr_To_a_minimal_extent,20.41040674
Employment and Social Development Canada,Term,11205.0765,Staffing activities are carried out in a transparent way,shr_To_a_minimal_extent,22.81042577
National Defence,Total,19903.2698,Staffing activities are carried out in a transparent way,shr_To_a_minimal_extent,20.37871957
National Defence,Indeterminate,12295.7717,Staffing activities are carried out in a transparent way,shr_To_a_minimal_extent,20.12041173
National Defence,Term,7607.4981,Staffing activities are carried out in a transparent way,shr_To_a_minimal_extent,20.73596562
Public Service Total,Total,176741.0842,I Believe that we hire people who can do the job,shr_To_a_minimal_extent,16.14427115
Public Service Total,Indeterminate,80328.3862,I Believe that we hire people who can do the job,shr_To_a_minimal_extent,16.9037105
Public Service Total,Term,96412.698,I Believe that we hire people who can do the job,shr_To_a_minimal_extent,15.55757388
Employment and Social Development Canada,Total,17354.8264,I Believe that we hire people who can do the job,shr_To_a_minimal_extent,19.97285446
Employment and Social Development Canada,Indeterminate,5266.1459,I Believe that we hire people who can do the job,shr_To_a_minimal_extent,18.9347079
Employment and Social Development Canada,Term,12088.6805,I Believe that we hire people who can do the job,shr_To_a_minimal_extent,20.42591482
National Defence,Total,21562.7816,I Believe that we hire people who can do the job,shr_To_a_minimal_extent,17.21558442
National Defence,Indeterminate,13246.1509,I Believe that we hire people who can do the job,shr_To_a_minimal_extent,17.47031306
National Defence,Term,8316.6307,I Believe that we hire people who can do the job,shr_To_a_minimal_extent,16.86746988
Public Service Total,Total,167782.8753,The process of selecting a person for a position is done fairly,shr_To_a_minimal_extent,18.96697267
Public Service Total,Indeterminate,76826.1106,The process of selecting a person for a position is done fairly,shr_To_a_minimal_extent,18.56803774
Public Service Total,Term,90956.7647,The process of selecting a person for a position is done fairly,shr_To_a_minimal_extent,19.27914796
Employment and Social Development Canada,Total,16252.6958,The process of selecting a person for a position is done fairly,shr_To_a_minimal_extent,22.4118697
Employment and Social Development Canada,Indeterminate,4958.6702,The process of selecting a person for a position is done fairly,shr_To_a_minimal_extent,20.60650347
Employment and Social Development Canada,Term,11294.0256,The process of selecting a person for a position is done fairly,shr_To_a_minimal_extent,23.20539586
National Defence,Total,20463.5252,The process of selecting a person for a position is done fairly,shr_To_a_minimal_extent,19.69447192
National Defence,Indeterminate,12699.5465,The process of selecting a person for a position is done fairly,shr_To_a_minimal_extent,19.34815373
National Defence,Term,7763.9787,The process of selecting a person for a position is done fairly,shr_To_a_minimal_extent,20.1793722
Public Service Total,Total,166161.5712,Staffing activities are carried out in a transparent way,shr_To_a_moderate_extent,37.80169776
Public Service Total,Indeterminate,75830.6355,Staffing activities are carried out in a transparent way,shr_To_a_moderate_extent,35.86867305
Public Service Total,Term,90330.9357,Staffing activities are carried out in a transparent way,shr_To_a_moderate_extent,39.30624897
Employment and Social Development Canada,Total,16151.1907,Staffing activities are carried out in a transparent way,shr_To_a_moderate_extent,39.97305188
Employment and Social Development Canada,Indeterminate,4946.1142,Staffing activities are carried out in a transparent way,shr_To_a_moderate_extent,38.32905826
Employment and Social Development Canada,Term,11205.0765,Staffing activities are carried out in a transparent way,shr_To_a_moderate_extent,40.69936863
National Defence,Total,19903.2698,Staffing activities are carried out in a transparent way,shr_To_a_moderate_extent,36.5644725
National Defence,Indeterminate,12295.7717,Staffing activities are carried out in a transparent way,shr_To_a_moderate_extent,35.9875704
National Defence,Term,7607.4981,Staffing activities are carried out in a transparent way,shr_To_a_moderate_extent,37.3623422
Public Service Total,Total,176741.0842,I Believe that we hire people who can do the job,shr_To_a_moderate_extent,42.16031794
Public Service Total,Indeterminate,80328.3862,I Believe that we hire people who can do the job,shr_To_a_moderate_extent,40.09864082
Public Service Total,Term,96412.698,I Believe that we hire people who can do the job,shr_To_a_moderate_extent,43.75304594
Employment and Social Development Canada,Total,17354.8264,I Believe that we hire people who can do the job,shr_To_a_moderate_extent,45.62539152
Employment and Social Development Canada,Indeterminate,5266.1459,I Believe that we hire people who can do the job,shr_To_a_moderate_extent,43.12714777
Employment and Social Development Canada,Term,12088.6805,I Believe that we hire people who can do the job,shr_To_a_moderate_extent,46.71565687
National Defence,Total,21562.7816,I Believe that we hire people who can do the job,shr_To_a_moderate_extent,42.16103896
National Defence,Indeterminate,13246.1509,I Believe that we hire people who can do the job,shr_To_a_moderate_extent,40.35624325
National Defence,Term,8316.6307,I Believe that we hire people who can do the job,shr_To_a_moderate_extent,44.62748955
Public Service Total,Total,167782.8753,The process of selecting a person for a position is done fairly,shr_To_a_moderate_extent,38.19378495
Public Service Total,Indeterminate,76826.1106,The process of selecting a person for a position is done fairly,shr_To_a_moderate_extent,36.03941952
Public Service Total,Term,90956.7647,The process of selecting a person for a position is done fairly,shr_To_a_moderate_extent,39.87962288
Employment and Social Development Canada,Total,16252.6958,The process of selecting a person for a position is done fairly,shr_To_a_moderate_extent,40.1048639
Employment and Social Development Canada,Indeterminate,4958.6702,The process of selecting a person for a position is done fairly,shr_To_a_moderate_extent,37.23054439
Employment and Social Development Canada,Term,11294.0256,The process of selecting a person for a position is done fairly,shr_To_a_moderate_extent,41.36823511
National Defence,Total,20463.5252,The process of selecting a person for a position is done fairly,shr_To_a_moderate_extent,37.16891966
National Defence,Indeterminate,12699.5465,The process of selecting a person for a position is done fairly,shr_To_a_moderate_extent,35.62547099
National Defence,Term,7763.9787,The process of selecting a person for a position is done fairly,shr_To_a_moderate_extent,39.32999209
